Genotype	TimePoint	N	RER	sd	se	ci	Phase	ANOVA_pValue	Sign
112L1	 92	4	0.908	0.106	0.053	0.169	LIGHT	0.85499245	.
112L1	 93	4	0.881	0.113	0.057	0.180	LIGHT	0.99562370	.
112L1	 94	4	0.831	0.099	0.050	0.158	LIGHT	0.68260401	.
112L1	 95	4	0.838	0.092	0.046	0.147	LIGHT	0.98300517	.
112L1	 96	4	0.855	0.065	0.032	0.103	LIGHT	0.81167570	.
112L1	 97	4	0.868	0.051	0.025	0.081	LIGHT	0.88437933	.
112L1	 98	4	0.893	0.080	0.040	0.127	LIGHT	0.58956637	.
112L1	 99	4	0.910	0.054	0.027	0.086	LIGHT	0.64466929	.
112L1	100	4	0.898	0.028	0.014	0.045	LIGHT	0.33288789	.
112L1	101	4	0.905	0.040	0.020	0.064	LIGHT	0.38004970	.
112L1	102	4	0.846	0.005	0.002	0.008	LIGHT	0.51333860	.
112L1	103	4	0.853	0.030	0.015	0.047	LIGHT	0.29723584	.
112L1	104	4	0.853	0.052	0.026	0.082	LIGHT	0.52972172	.
112L1	105	4	0.932	0.016	0.008	0.026	DARK	0.01190056	*
112L1	106	4	0.914	0.038	0.019	0.060	DARK	0.13983784	.
112L1	107	4	0.956	0.026	0.013	0.042	DARK	0.11523589	.
112L1	108	4	0.994	0.053	0.027	0.085	DARK	0.21301344	.
112L1	109	4	0.957	0.058	0.029	0.092	DARK	0.13060254	.
112L1	110	4	0.956	0.039	0.019	0.062	DARK	0.16834498	.
112L1	111	4	0.973	0.066	0.033	0.104	DARK	0.12722551	.
112L2	  1	4	0.868	0.084	0.042	0.134	DARK	0.44525481	.
112L2	  2	4	0.864	0.079	0.039	0.125	DARK	0.54951613	.
112L2	  3	4	0.872	0.118	0.059	0.188	DARK	0.56142519	.
112L2	  4	4	0.887	0.098	0.049	0.156	DARK	0.69838605	.
112L2	  5	4	0.902	0.068	0.034	0.108	DARK	0.89508316	.
112L2	  6	4	0.925	0.086	0.043	0.136	DARK	0.60239222	.
112L2	  7	4	0.918	0.095	0.048	0.152	DARK	0.92019625	.
112L2	  8	4	0.934	0.082	0.041	0.130	DARK	0.19361510	.
112L2	  9	4	0.923	0.095	0.047	0.151	DARK	0.81860081	.
112L2	 10	4	0.930	0.120	0.060	0.191	DARK	0.76276464	.
112L2	 11	4	0.916	0.064	0.032	0.103	DARK	0.77630978	.
112L2	 12	4	0.923	0.068	0.034	0.109	DARK	0.85653009	.
112L2	 13	4	0.918	0.045	0.022	0.071	LIGHT	0.61578315	.
112L2	 14	4	0.933	0.021	0.011	0.034	LIGHT	0.29351760	.
112L2	 15	4	0.980	0.045	0.022	0.071	LIGHT	0.08177382	.
112L2	 16	4	0.928	0.047	0.024	0.075	LIGHT	0.31251978	.
112L2	 17	4	0.913	0.042	0.021	0.067	LIGHT	0.49260206	.
112L2	 18	4	0.907	0.070	0.035	0.111	LIGHT	0.64169473	.
112L2	 19	4	0.865	0.071	0.035	0.113	LIGHT	0.44240415	.
112L2	 20	4	0.891	0.066	0.033	0.105	LIGHT	0.30448424	.
112L2	 21	4	0.847	0.058	0.029	0.092	LIGHT	0.22922424	.
