Genotype	TimePoint	N	Temp	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 79	4	21.775	0.532	0.266	0.846	DARK	0.6712546	.
WT	 80	4	21.725	0.538	0.269	0.856	DARK	0.7585075	.
WT	 81	4	21.775	0.532	0.266	0.846	DARK	0.7219804	.
WT	 82	4	21.750	0.551	0.275	0.876	DARK	0.6703357	.
WT	 83	4	21.750	0.493	0.247	0.785	DARK	0.6975423	.
WT	 84	4	21.725	0.479	0.239	0.762	DARK	0.7576730	.
WT	 85	4	21.750	0.493	0.247	0.785	DARK	0.6975423	.
WT	 86	4	21.700	0.497	0.248	0.790	DARK	0.7804036	.
WT	 87	4	21.700	0.497	0.248	0.790	LIGHT	0.7804036	.
WT	 88	4	21.700	0.523	0.261	0.832	LIGHT	0.7898272	.
WT	 89	4	21.775	0.479	0.239	0.762	LIGHT	0.6983450	.
WT	 90	4	21.725	0.499	0.250	0.794	LIGHT	0.7010752	.
WT	 91	4	21.725	0.499	0.250	0.794	LIGHT	0.7010752	.
WT	 92	4	21.700	0.523	0.261	0.832	LIGHT	0.6792670	.
WT	 93	4	21.700	0.523	0.261	0.832	LIGHT	0.7531793	.
WT	 94	4	21.750	0.507	0.253	0.806	LIGHT	0.7562851	.
WT	 95	4	21.775	0.519	0.259	0.826	LIGHT	0.8009253	.
WT	 96	4	21.850	0.480	0.240	0.763	LIGHT	0.6478288	.
WT	 97	4	21.825	0.512	0.256	0.815	LIGHT	0.7121067	.
WT	 98	4	21.825	0.512	0.256	0.815	LIGHT	0.7783062	.
WT	 99	4	21.825	0.512	0.256	0.815	LIGHT	0.7783062	.
WT	100	4	21.850	0.480	0.240	0.763	LIGHT	0.7533472	.
WT	101	4	21.850	0.480	0.240	0.763	LIGHT	0.7236735	.
WT	102	4	21.825	0.512	0.256	0.815	LIGHT	0.7266483	.
WT	103	4	21.850	0.480	0.240	0.763	LIGHT	0.6692885	.
WT	104	4	21.800	0.497	0.248	0.790	LIGHT	0.7606356	.
WT	105	4	21.850	0.507	0.253	0.806	DARK	0.6814861	.
WT	106	4	21.800	0.497	0.248	0.790	DARK	0.8560683	.
WT	107	4	21.800	0.516	0.258	0.822	DARK	0.8342620	.
WT	108	4	21.800	0.548	0.274	0.872	DARK	0.8738663	.
WT	109	4	21.800	0.548	0.274	0.872	DARK	0.9080714	.
WT	110	4	21.800	0.529	0.265	0.842	DARK	0.8707874	.
WT	111	4	21.800	0.529	0.265	0.842	DARK	0.8807669	.
