Genotype	TimePoint	N	H.3.	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 72	4	0.434	0.042	0.021	0.067	DARK	0.229213698	.
WT	 73	4	0.488	0.067	0.034	0.107	DARK	0.542438368	.
WT	 74	4	0.466	0.052	0.026	0.082	DARK	0.749948789	.
WT	 75	4	0.458	0.127	0.063	0.201	DARK	0.730340945	.
WT	 76	4	0.388	0.043	0.022	0.068	DARK	0.064254013	.
WT	 77	4	0.414	0.118	0.059	0.188	DARK	0.135119677	.
WT	 78	4	0.436	0.083	0.041	0.132	DARK	0.060649243	.
WT	 79	4	0.414	0.051	0.026	0.082	DARK	0.162931955	.
WT	 80	4	0.508	0.108	0.054	0.172	DARK	0.443951881	.
WT	 81	4	0.447	0.111	0.055	0.176	DARK	0.701615483	.
WT	 82	4	0.395	0.096	0.048	0.154	DARK	0.003308834	***
WT	 83	4	0.409	0.064	0.032	0.102	DARK	0.084992950	.
WT	 84	4	0.374	0.067	0.033	0.107	DARK	0.090643125	.
WT	 85	4	0.387	0.065	0.032	0.103	DARK	0.183848061	.
WT	 86	4	0.432	0.082	0.041	0.130	DARK	0.305199872	.
WT	 87	4	0.485	0.144	0.072	0.228	LIGHT	0.896727267	.
WT	 88	4	0.398	0.140	0.070	0.223	LIGHT	0.406022978	.
WT	 89	4	0.416	0.095	0.047	0.151	LIGHT	0.591788939	.
WT	 90	4	0.338	0.085	0.043	0.136	LIGHT	0.008939051	**
WT	 91	4	0.374	0.084	0.042	0.134	LIGHT	0.112569145	.
WT	 92	4	0.317	0.063	0.032	0.100	LIGHT	0.112598447	.
WT	 93	4	0.304	0.075	0.038	0.120	LIGHT	0.036094553	*
WT	 94	4	0.430	0.136	0.068	0.217	LIGHT	0.404115186	.
WT	 95	4	0.379	0.026	0.013	0.041	LIGHT	0.020700676	*
WT	 96	4	0.311	0.027	0.013	0.043	LIGHT	0.199005079	.
WT	 97	4	0.295	0.072	0.036	0.115	LIGHT	0.290735469	.
WT	 98	4	0.300	0.061	0.031	0.097	LIGHT	0.478837967	.
WT	 99	4	0.279	0.054	0.027	0.085	LIGHT	0.037578638	*
WT	100	4	0.313	0.075	0.037	0.119	LIGHT	0.177507362	.
WT	101	4	0.284	0.031	0.015	0.049	LIGHT	0.043838274	*
WT	102	4	0.366	0.088	0.044	0.140	LIGHT	0.077183558	.
WT	103	4	0.317	0.067	0.034	0.107	LIGHT	0.291918736	.
WT	104	4	0.466	0.096	0.048	0.153	LIGHT	0.152618857	.
