Genotype	TimePoint	N	dO2	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 67	4	0.359	0.097	0.048	0.154	LIGHT	0.427214847	.
WT	 68	4	0.372	0.058	0.029	0.092	LIGHT	0.601433193	.
WT	 69	4	0.456	0.128	0.064	0.204	DARK	0.585887525	.
WT	 70	4	0.490	0.101	0.051	0.161	DARK	0.219051627	.
WT	 71	4	0.474	0.170	0.085	0.270	DARK	0.424601608	.
WT	 72	4	0.410	0.040	0.020	0.064	DARK	0.231414435	.
WT	 73	4	0.462	0.064	0.032	0.102	DARK	0.549645257	.
WT	 74	4	0.441	0.050	0.025	0.079	DARK	0.751238757	.
WT	 75	4	0.434	0.120	0.060	0.192	DARK	0.725529110	.
WT	 76	4	0.367	0.040	0.020	0.064	DARK	0.062387854	.
WT	 77	4	0.392	0.112	0.056	0.178	DARK	0.136660426	.
WT	 78	4	0.413	0.079	0.040	0.126	DARK	0.062574008	.
WT	 79	4	0.392	0.049	0.025	0.078	DARK	0.158147515	.
WT	 80	4	0.480	0.103	0.051	0.163	DARK	0.436006163	.
WT	 81	4	0.424	0.105	0.053	0.167	DARK	0.704557995	.
WT	 82	4	0.374	0.091	0.046	0.145	DARK	0.003444093	***
WT	 83	4	0.388	0.061	0.030	0.097	DARK	0.086886573	.
WT	 84	4	0.354	0.064	0.032	0.102	DARK	0.091348786	.
WT	 85	4	0.367	0.061	0.030	0.097	DARK	0.183058037	.
WT	 86	4	0.408	0.078	0.039	0.124	DARK	0.304547041	.
WT	 87	4	0.459	0.136	0.068	0.217	LIGHT	0.896657644	.
WT	 88	4	0.377	0.133	0.067	0.212	LIGHT	0.410524308	.
WT	 89	4	0.392	0.090	0.045	0.143	LIGHT	0.590153594	.
WT	 90	4	0.321	0.081	0.041	0.129	LIGHT	0.009093414	**
WT	 91	4	0.354	0.079	0.040	0.126	LIGHT	0.111046974	.
WT	 92	4	0.300	0.060	0.030	0.095	LIGHT	0.113728115	.
WT	 93	4	0.287	0.072	0.036	0.114	LIGHT	0.036205554	*
WT	 94	4	0.408	0.129	0.065	0.206	LIGHT	0.408563352	.
WT	 95	4	0.359	0.025	0.012	0.040	LIGHT	0.022018399	*
WT	 96	4	0.295	0.025	0.013	0.041	LIGHT	0.199344819	.
WT	 97	4	0.280	0.068	0.034	0.109	LIGHT	0.295304599	.
WT	 98	4	0.285	0.058	0.029	0.093	LIGHT	0.481938778	.
WT	 99	4	0.264	0.051	0.026	0.082	LIGHT	0.039717597	*
WT	100	4	0.298	0.072	0.036	0.114	LIGHT	0.190474640	.
WT	101	4	0.270	0.030	0.015	0.047	LIGHT	0.043166089	*
WT	102	4	0.346	0.084	0.042	0.133	LIGHT	0.079644699	.
WT	103	4	0.300	0.064	0.032	0.102	LIGHT	0.294246644	.
WT	104	4	0.441	0.091	0.045	0.144	LIGHT	0.154580248	.
WT	105	4	0.339	0.063	0.031	0.100	DARK	0.148913776	.
WT	106	4	0.459	0.104	0.052	0.165	DARK	0.535500417	.
WT	107	4	0.416	0.046	0.023	0.073	DARK	0.923728618	.
WT	108	4	0.439	0.094	0.047	0.150	DARK	0.468687290	.
