Genotype	TimePoint	N	XT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 64	4	 705.00	  659.378	 329.689	 1049.218	LIGHT	0.763547779	.
WT	 65	4	 868.00	  546.286	 273.143	  869.263	LIGHT	0.710354418	.
WT	 66	4	 350.75	  204.257	 102.128	  325.018	LIGHT	0.092311348	.
WT	 67	4	3000.50	 2605.444	1302.722	 4145.843	LIGHT	0.155454058	.
WT	 68	4	1260.00	 1190.685	 595.343	 1894.646	LIGHT	0.254570560	.
WT	 69	4	6545.25	 1937.042	 968.521	 3082.266	DARK	0.009580875	**
WT	 70	4	5487.50	 1562.723	 781.361	 2486.640	DARK	0.010372466	*
WT	 71	4	3296.00	 2169.853	1084.926	 3452.720	DARK	0.817747328	.
WT	 72	4	2065.75	 1920.595	 960.297	 3056.095	DARK	0.036927616	*
WT	 73	4	3556.50	 1859.581	 929.791	 2959.009	DARK	0.146247807	.
WT	 74	4	4529.75	 3512.318	1756.159	 5588.882	DARK	0.235606796	.
WT	 75	4	2934.50	 2540.522	1270.261	 4042.538	DARK	0.026793910	*
WT	 76	4	1719.00	 2346.511	1173.256	 3733.823	DARK	0.483045446	.
WT	 77	4	2041.00	 1890.376	 945.188	 3008.011	DARK	0.842407748	.
WT	 78	4	1745.50	 1343.844	 671.922	 2138.356	DARK	0.008776302	**
WT	 79	4	2532.50	 1558.318	 779.159	 2479.631	DARK	0.527264449	.
WT	 80	4	3798.50	 2610.062	1305.031	 4153.190	DARK	0.571542348	.
WT	 81	4	 612.25	  632.785	 316.392	 1006.901	DARK	0.120878934	.
WT	 82	4	1855.00	 2317.917	1158.959	 3688.324	DARK	0.550554076	.
WT	 83	4	1394.25	 1567.497	 783.749	 2494.238	DARK	0.823453721	.
WT	 84	4	 759.50	  669.247	 334.623	 1064.921	DARK	0.050775427	.
WT	 85	4	1638.50	 1119.012	 559.506	 1780.597	DARK	0.603933234	.
WT	 86	4	3940.00	  779.754	 389.877	 1240.763	DARK	0.912019432	.
WT	 87	4	2822.00	 2801.995	1400.997	 4458.599	LIGHT	0.328391900	.
WT	 88	4	2152.50	 1156.914	 578.457	 1840.908	LIGHT	0.356519637	.
WT	 89	4	2067.75	 2213.937	1106.969	 3522.868	LIGHT	0.990883210	.
WT	 90	4	 454.75	  317.117	 158.558	  504.603	LIGHT	0.033169598	*
WT	 91	4	1922.50	 1504.733	 752.367	 2394.366	LIGHT	0.646089931	.
WT	 92	4	 571.50	  678.713	 339.357	 1079.984	LIGHT	0.111107111	.
WT	 93	4	 396.50	  452.720	 226.360	  720.378	LIGHT	0.314609609	.
WT	 94	4	2242.25	 1732.974	 866.487	 2757.548	LIGHT	0.264232339	.
WT	 95	4	 844.75	 1433.902	 716.951	 2281.658	LIGHT	0.476350580	.
WT	 96	4	 143.75	  119.503	  59.751	  190.156	LIGHT	0.464467415	.
