Genotype	TimePoint	N	CumPerF	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 76	4	 61549.25	21601.674	10800.837	34373.084	DARK	0.14724051	.
WT	 77	4	 62115.75	21485.752	10742.876	34188.627	DARK	0.14005528	.
WT	 78	4	 62884.25	21760.515	10880.258	34625.836	DARK	0.13958446	.
WT	 79	4	 63701.00	21725.069	10862.534	34569.432	DARK	0.13734518	.
WT	 80	4	 64749.25	21565.069	10782.534	34314.837	DARK	0.13252036	.
WT	 81	4	 65252.00	21697.823	10848.911	34526.078	DARK	0.13273364	.
WT	 82	4	 65844.75	21500.180	10750.090	34211.583	DARK	0.12270193	.
WT	 83	4	 66449.75	21724.398	10862.199	34568.366	DARK	0.11883952	.
WT	 84	4	 66967.75	21794.482	10897.241	34679.884	DARK	0.11248608	.
WT	 85	4	 67673.00	21969.470	10984.735	34958.330	DARK	0.10608905	.
WT	 86	4	 68742.00	22116.749	11058.375	35192.684	DARK	0.10257986	.
WT	 87	4	 69309.00	22280.966	11140.483	35453.989	LIGHT	0.09988954	.
WT	 88	4	 69896.50	22536.159	11268.080	35860.058	LIGHT	0.09698007	.
WT	 89	4	 70619.00	22711.314	11355.657	36138.768	LIGHT	0.09714038	.
