Genotype	TimePoint	N	CumYT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 58	4	169841.50	 90155.822	45077.911	143458.032	LIGHT	0.055032244	.
WT	 59	4	170225.50	 90470.172	45235.086	143958.233	LIGHT	0.049031457	*
WT	 60	4	171259.00	 91142.058	45571.029	145027.353	LIGHT	0.045777854	*
WT	 61	4	172615.50	 91660.862	45830.431	145852.885	LIGHT	0.043815399	*
WT	 62	4	174962.25	 93356.686	46678.343	148551.321	LIGHT	0.044006813	*
WT	 63	4	178377.75	 96146.435	48073.218	152990.434	LIGHT	0.047162649	*
WT	 64	4	180677.50	 98112.586	49056.293	156119.018	LIGHT	0.043831074	*
WT	 65	4	182124.00	 98964.518	49482.259	157474.632	LIGHT	0.039649654	*
WT	 66	4	183421.00	 99738.843	49869.421	158706.756	LIGHT	0.041741617	*
WT	 67	4	186800.75	101430.755	50715.377	161398.966	LIGHT	0.041242612	*
WT	 68	4	189913.00	103550.841	51775.420	164772.495	LIGHT	0.042955917	*
WT	 69	4	195788.00	104826.564	52413.282	166802.456	DARK	0.044655163	*
WT	 70	4	199856.25	104429.344	52214.672	166170.390	DARK	0.044914354	*
WT	 71	4	202867.75	104675.804	52337.902	166562.563	DARK	0.042815492	*
WT	 72	4	206798.00	106848.852	53424.426	170020.368	DARK	0.045914643	*
WT	 73	4	210692.25	108485.866	54242.933	172625.222	DARK	0.044536082	*
WT	 74	4	214960.50	110409.368	55204.684	175685.943	DARK	0.045341367	*
WT	 75	4	218039.00	111948.965	55974.483	178135.785	DARK	0.046008493	*
WT	 76	4	220564.00	112106.562	56053.281	178386.556	DARK	0.042375758	*
WT	 77	4	222249.75	111366.705	55683.353	177209.280	DARK	0.038498485	*
WT	 78	4	225012.50	112246.154	56123.077	178608.679	DARK	0.035512782	*
WT	 79	4	227506.50	111721.056	55860.528	177773.131	DARK	0.032911410	*
WT	 80	4	230656.00	111254.691	55627.346	177031.040	DARK	0.031708818	*
WT	 81	4	231980.50	111402.203	55701.102	177265.765	DARK	0.031456358	*
WT	 82	4	233559.75	110543.498	55271.749	175899.373	DARK	0.028263215	*
WT	 83	4	235252.50	111084.725	55542.363	176760.587	DARK	0.026679043	*
WT	 84	4	236576.75	111262.784	55631.392	177043.917	DARK	0.024166206	*
WT	 85	4	238559.75	111430.809	55715.405	177311.284	DARK	0.021255900	*
WT	 86	4	242046.25	111675.455	55837.728	177700.570	DARK	0.020067857	*
WT	 87	4	244164.50	112995.846	56497.923	179801.607	LIGHT	0.018740855	*
WT	 88	4	246370.50	114007.068	57003.534	181410.686	LIGHT	0.018757529	*
WT	 89	4	248859.75	114843.200	57421.600	182741.159	LIGHT	0.018775946	*
WT	 90	4	250305.75	115544.104	57772.052	183856.454	LIGHT	0.016720574	*
