Genotype	TimePoint	N	CumXT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 38	4	202497.75	 58782.750	29391.375	 93536.473	DARK	0.63124254	.
WT	 39	4	209010.25	 56608.848	28304.424	 90077.310	DARK	0.61449587	.
WT	 40	4	213207.50	 59876.956	29938.478	 95277.599	DARK	0.59409250	.
WT	 41	4	219755.25	 61522.651	30761.325	 97896.267	DARK	0.61727793	.
WT	 42	4	223661.00	 59378.556	29689.278	 94484.532	DARK	0.60394786	.
WT	 43	4	227395.50	 61789.064	30894.532	 98320.190	DARK	0.57372835	.
WT	 44	4	230843.00	 58843.380	29421.690	 93632.949	DARK	0.56800702	.
WT	 45	4	235789.75	 60966.594	30483.297	 97011.456	DARK	0.57172728	.
WT	 46	4	240780.75	 61920.631	30960.316	 98529.542	DARK	0.54534246	.
WT	 47	4	243473.75	 62254.504	31127.252	 99060.808	DARK	0.50961972	.
WT	 48	4	248378.25	 62124.984	31062.492	 98854.713	DARK	0.50742427	.
WT	 49	4	256676.50	 62834.629	31417.315	 99983.917	DARK	0.48547757	.
WT	 50	4	264160.25	 60925.945	30462.972	 96946.774	LIGHT	0.50875687	.
WT	 51	4	267964.75	 63429.737	31714.869	100930.867	LIGHT	0.51929363	.
WT	 52	4	272623.00	 64397.174	32198.587	102470.275	LIGHT	0.48357130	.
WT	 53	4	275074.50	 65224.044	32612.022	103786.009	LIGHT	0.41559599	.
WT	 54	4	279826.00	 67359.095	33679.548	107183.352	LIGHT	0.41178042	.
WT	 55	4	282053.00	 68679.686	34339.843	109284.707	LIGHT	0.36951167	.
WT	 56	4	283566.25	 68440.082	34220.041	108903.442	LIGHT	0.34401671	.
WT	 57	4	287284.25	 69807.736	34903.868	111079.686	LIGHT	0.32218766	.
WT	 58	4	289887.00	 70636.807	35318.403	112398.923	LIGHT	0.31891966	.
WT	 59	4	290413.50	 70917.545	35458.773	112845.640	LIGHT	0.29008694	.
WT	 60	4	291910.75	 71154.577	35577.289	113222.811	LIGHT	0.27719034	.
WT	 61	4	293951.25	 71255.104	35627.552	113382.772	LIGHT	0.27127739	.
