Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 96	4	461566.00	112370.630	56185.315	178806.748	LIGHT	0.04692103	*
112L2	 97	4	469268.00	111605.868	55802.934	177589.841	LIGHT	0.04267478	*
112L2	 98	4	476102.50	114201.413	57100.706	181719.932	LIGHT	0.04066450	*
112L2	 99	4	484025.50	112369.267	56184.634	178804.580	LIGHT	0.03495284	*
112L2	100	4	491976.75	108146.708	54073.354	172085.546	LIGHT	0.03000081	*
112L2	101	4	496758.00	109041.720	54520.860	173509.709	LIGHT	0.02903660	*
112L2	102	4	500648.25	109864.312	54932.156	174818.637	LIGHT	0.02927299	*
112L2	103	4	505111.50	110146.114	55073.057	175267.047	LIGHT	0.03088588	*
112L2	104	4	508805.00	111965.430	55982.715	178161.984	LIGHT	0.03101052	*
112L2	105	4	515539.25	111558.981	55779.490	177515.233	DARK	0.03129403	*
112L2	106	4	521879.25	115048.038	57524.019	183067.101	DARK	0.03445712	*
112L2	107	4	528514.00	117284.446	58642.223	186625.726	DARK	0.03339349	*
112L2	108	4	533797.25	118646.250	59323.125	188792.661	DARK	0.03245274	*
112L2	109	4	537826.75	117094.078	58547.039	186322.809	DARK	0.03046959	*
112L2	110	4	541771.00	116685.328	58342.664	185672.396	DARK	0.03102170	*
112L2	111	4	546555.25	118527.596	59263.798	188603.855	DARK	0.03072710	*
WT	  1	4	  3529.00	  1300.636	  650.318	  2069.602	DARK	0.57223844	.
WT	  2	4	 10472.75	  3769.151	 1884.576	  5997.561	DARK	0.37317911	.
WT	  3	4	 17007.25	  6452.999	 3226.500	 10268.162	DARK	0.38817577	.
WT	  4	4	 22546.00	  9093.202	 4546.601	 14469.313	DARK	0.31856113	.
WT	  5	4	 26088.50	  8506.790	 4253.395	 13536.201	DARK	0.49147855	.
WT	  6	4	 29000.50	  8709.744	 4354.872	 13859.146	DARK	0.42969747	.
WT	  7	4	 33702.75	 10906.103	 5453.051	 17354.043	DARK	0.33956540	.
