Genotype	TimePoint	N	DistD	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	  6	4	 3093.25	 1474.489	  737.244	 2346.241	DARK	0.1220373571	.
WT	  7	4	 4825.50	 2855.706	 1427.853	 4544.066	DARK	0.3520642649	.
WT	  8	4	 3238.75	 1982.172	  991.086	 3154.077	DARK	0.4703043802	.
WT	  9	4	 3577.00	 2776.052	 1388.026	 4417.318	DARK	0.4812471389	.
WT	 10	4	 2651.25	 2030.025	 1015.012	 3230.223	DARK	0.0522070895	.
WT	 11	4	 1872.50	 1565.652	  782.826	 2491.301	DARK	0.1197314286	.
WT	 12	4	 4642.50	 1055.464	  527.732	 1679.479	DARK	0.0648907377	.
WT	 13	4	 7861.50	 3907.088	 1953.544	 6217.048	LIGHT	0.0788112886	.
WT	 14	4	 5355.75	 3212.659	 1606.329	 5112.057	LIGHT	0.1678975910	.
WT	 15	4	 4400.25	 1655.278	  827.639	 2633.917	LIGHT	0.8318878578	.
WT	 16	4	 3522.25	 1989.017	  994.509	 3164.970	LIGHT	0.5983815695	.
WT	 17	4	 4313.00	 4542.441	 2271.221	 7228.037	LIGHT	0.3565185299	.
WT	 18	4	 4514.25	 2991.166	 1495.583	 4759.613	LIGHT	0.5761706701	.
WT	 19	4	 5965.00	 3016.831	 1508.415	 4800.451	LIGHT	0.1755580398	.
WT	 20	4	 6702.25	 5984.210	 2992.105	 9522.214	LIGHT	0.5923769084	.
WT	 21	4	 7542.00	10358.544	 5179.272	16482.755	LIGHT	0.6855686393	.
WT	 22	4	 2963.00	 2638.039	 1319.019	 4197.708	LIGHT	0.3537108450	.
WT	 23	4	 2195.00	 2216.690	 1108.345	 3527.248	LIGHT	0.3860340977	.
WT	 24	4	 5519.50	 3397.936	 1698.968	 5406.874	LIGHT	0.7437294232	.
WT	 25	4	 6140.00	 5278.064	 2639.032	 8398.577	LIGHT	0.4732884122	.
WT	 26	4	 9299.25	 6521.407	 3260.704	10377.014	LIGHT	0.1439619584	.
WT	 27	4	 4769.75	 2673.041	 1336.521	 4253.405	LIGHT	0.3073019294	.
WT	 28	4	 3819.25	 2255.511	 1127.755	 3589.021	LIGHT	0.6557300162	.
WT	 29	4	 5258.75	 3857.970	 1928.985	 6138.891	LIGHT	0.5697564928	.
WT	 30	4	 5277.50	 3831.497	 1915.749	 6096.767	LIGHT	0.4589430006	.
WT	 31	4	 5334.50	 2595.162	 1297.581	 4129.482	LIGHT	0.5162136973	.
WT	 32	4	 6572.00	 1511.301	  755.650	 2404.816	DARK	0.9624670164	.
WT	 33	4	 6013.50	 1762.519	  881.260	 2804.561	DARK	0.4483592040	.
WT	 34	4	 6067.25	 2403.932	 1201.966	 3825.193	DARK	0.5967023463	.
WT	 35	4	 3515.50	 1256.835	  628.417	 1999.904	DARK	0.4363077507	.
WT	 36	4	 4721.00	 1865.455	  932.727	 2968.355	DARK	0.5495162336	.
WT	 37	4	 5340.00	 2829.941	 1414.970	 4503.067	DARK	0.6201864779	.
WT	 38	4	 6092.75	 2225.118	 1112.559	 3540.659	DARK	0.6080060639	.
WT	 39	4	 5567.75	 1447.818	  723.909	 2303.802	DARK	0.3681906833	.
WT	 40	4	 3821.25	 3074.794	 1537.397	 4892.683	DARK	0.1931504020	.
WT	 41	4	 5511.00	 2546.870	 1273.435	 4052.638	DARK	0.2557062447	.
WT	 42	4	 3636.50	 2358.598	 1179.299	 3753.056	DARK	0.1641637261	.
WT	 43	4	 3434.75	 3117.645	 1558.822	 4960.869	DARK	0.1287721914	.
WT	 44	4	 2802.75	 1956.730	  978.365	 3113.594	DARK	0.0308642493	*
WT	 45	4	 6318.25	 5383.207	 2691.604	 8565.884	DARK	0.7593440850	.
WT	 46	4	 4697.00	 1913.154	  956.577	 3044.255	DARK	0.0487442250	*
WT	 47	4	 3129.75	 1204.292	  602.146	 1916.297	DARK	0.1855311424	.
WT	 48	4	 4162.25	 2367.188	 1183.594	 3766.724	DARK	0.4367718053	.
WT	 49	4	 5219.75	 2449.411	 1224.706	 3897.560	DARK	0.1199471613	.
WT	 50	4	 4353.25	  979.774	  489.887	 1559.039	LIGHT	0.3724842366	.
WT	 51	4	 3099.00	 2485.099	 1242.549	 3954.347	LIGHT	0.3975040787	.
WT	 52	4	 4045.25	 2210.019	 1105.009	 3516.633	LIGHT	0.2535320578	.
WT	 53	4	 2159.00	 2298.121	 1149.061	 3656.824	LIGHT	0.1412644390	.
WT	 54	4	 4258.75	 4042.991	 2021.496	 6433.302	LIGHT	0.6722050688	.
WT	 55	4	 2700.75	 2101.009	 1050.505	 3343.175	LIGHT	0.1497590205	.
WT	 56	4	 1862.75	  862.167	  431.083	 1371.900	LIGHT	0.1961827519	.
WT	 57	4	 2596.50	 1889.587	  944.794	 3006.755	LIGHT	0.0941425245	.
WT	 58	4	 2374.25	 1861.286	  930.643	 2961.721	LIGHT	0.2388936015	.
WT	 59	4	 1456.75	 1533.966	  766.983	 2440.882	LIGHT	0.1465296198	.
WT	 60	4	 2218.75	  965.402	  482.701	 1536.170	LIGHT	0.0005307836	****
WT	 61	4	 2800.25	 2657.803	 1328.902	 4229.158	LIGHT	0.1073244586	.
WT	 62	4	 3133.25	 1961.994	  980.997	 3121.970	LIGHT	0.4493967595	.
WT	 63	4	 4247.00	 3222.711	 1611.355	 5128.052	LIGHT	0.3092968731	.
WT	 64	4	 2886.25	 2393.920	 1196.960	 3809.262	LIGHT	0.2091098439	.
WT	 65	4	 3508.00	 2147.932	 1073.966	 3417.838	LIGHT	0.2272489791	.
WT	 66	4	 2181.50	 1459.773	  729.887	 2322.825	LIGHT	0.5647484756	.
WT	 67	4	 4836.50	 3060.587	 1530.293	 4870.077	LIGHT	0.2445593762	.
WT	 68	4	 4263.00	 2465.380	 1232.690	 3922.970	LIGHT	0.1973889941	.
WT	 69	4	 9585.00	 4770.981	 2385.490	 7591.695	DARK	0.0641234764	.
WT	 70	4	 7146.75	 2499.015	 1249.508	 3976.491	DARK	0.3478938659	.
WT	 71	4	 6972.00	 6168.990	 3084.495	 9816.239	DARK	0.7250638311	.
WT	 72	4	 5833.75	 2550.169	 1275.085	 4057.888	DARK	0.5181616473	.
WT	 73	4	 5956.25	 3070.026	 1535.013	 4885.096	DARK	0.8291176076	.
WT	 74	4	 6090.50	 2685.861	 1342.930	 4273.804	DARK	0.6039332040	.
WT	 75	4	 5820.50	 5091.990	 2545.995	 8102.493	DARK	0.3515827868	.
WT	 76	4	 3136.00	 2500.647	 1250.323	 3979.087	DARK	0.3690472208	.
WT	 77	4	 3917.75	 1948.293	  974.147	 3100.169	DARK	0.5560922860	.
